"rep";"lac";"mu";"gam";"laa";"K";"lac2";"mu2";"gam2";"laa2";"trans";"trans2"
1;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0;0
2;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0;0
3;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0;0
4;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0;0
5;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0;0
6;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0;0
7;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0;0
8;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0;0
9;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0;0
10;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0;0
1;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0;0
2;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0;0
3;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0;0
4;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0;0
5;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0;0
6;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0;0
7;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0;0
8;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0;0
9;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0;0
10;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0;0
1;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0;0
2;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0;0
3;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0;0
4;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0;0
5;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0;0
6;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0;0
7;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0;0
8;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0;0
9;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0;0
10;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0;0
1;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0;0
2;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0;0
3;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0;0
4;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0;0
5;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0;0
6;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0;0
7;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0;0
8;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0;0
9;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0;0
10;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0;0
1;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0,02;0,2
2;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0,02;0,2
3;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0,02;0,2
4;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0,02;0,2
5;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0,02;0,2
6;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0,02;0,2
7;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0,02;0,2
8;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0,02;0,2
9;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0,02;0,2
10;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0,02;0,2
1;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0,02;0,2
2;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0,02;0,2
3;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0,02;0,2
4;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0,02;0,2
5;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0,02;0,2
6;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0,02;0,2
7;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0,02;0,2
8;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0,02;0,2
9;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0,02;0,2
10;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0,02;0,2
1;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0,02;0,2
2;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0,02;0,2
3;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0,02;0,2
4;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0,02;0,2
5;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0,02;0,2
6;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0,02;0,2
7;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0,02;0,2
8;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0,02;0,2
9;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0,02;0,2
10;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0,02;0,2
1;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,02;0,2
2;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,02;0,2
3;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,02;0,2
4;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,02;0,2
5;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,02;0,2
6;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,02;0,2
7;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,02;0,2
8;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,02;0,2
9;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,02;0,2
10;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,02;0,2
1;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0,2;0,02
2;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0,2;0,02
3;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0,2;0,02
4;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0,2;0,02
5;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0,2;0,02
6;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0,2;0,02
7;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0,2;0,02
8;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0,2;0,02
9;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0,2;0,02
10;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0,2;0,02
1;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0,2;0,02
2;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0,2;0,02
3;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0,2;0,02
4;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0,2;0,02
5;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0,2;0,02
6;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0,2;0,02
7;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0,2;0,02
8;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0,2;0,02
9;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0,2;0,02
10;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0,2;0,02
1;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0,2;0,02
2;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0,2;0,02
3;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0,2;0,02
4;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0,2;0,02
5;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0,2;0,02
6;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0,2;0,02
7;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0,2;0,02
8;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0,2;0,02
9;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0,2;0,02
10;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0,2;0,02
1;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,2;0,02
2;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,2;0,02
3;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,2;0,02
4;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,2;0,02
5;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,2;0,02
6;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,2;0,02
7;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,2;0,02
8;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,2;0,02
9;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,2;0,02
10;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,2;0,02
1;0,5;0,025;0,02;0,2;20;0,5;0,175;0,02;0,2;0;0
2;0,5;0,025;0,02;0,2;20;0,5;0,175;0,02;0,2;0;0
3;0,5;0,025;0,02;0,2;20;0,5;0,175;0,02;0,2;0;0
4;0,5;0,025;0,02;0,2;20;0,5;0,175;0,02;0,2;0;0
5;0,5;0,025;0,02;0,2;20;0,5;0,175;0,02;0,2;0;0
6;0,5;0,025;0,02;0,2;20;0,5;0,175;0,02;0,2;0;0
7;0,5;0,025;0,02;0,2;20;0,5;0,175;0,02;0,2;0;0
8;0,5;0,025;0,02;0,2;20;0,5;0,175;0,02;0,2;0;0
9;0,5;0,025;0,02;0,2;20;0,5;0,175;0,02;0,2;0;0
10;0,5;0,025;0,02;0,2;20;0,5;0,175;0,02;0,2;0;0
1;0,5;0,05;0,02;0,2;20;0,5;0,15;0,02;0,2;0;0
2;0,5;0,05;0,02;0,2;20;0,5;0,15;0,02;0,2;0;0
3;0,5;0,05;0,02;0,2;20;0,5;0,15;0,02;0,2;0;0
4;0,5;0,05;0,02;0,2;20;0,5;0,15;0,02;0,2;0;0
5;0,5;0,05;0,02;0,2;20;0,5;0,15;0,02;0,2;0;0
6;0,5;0,05;0,02;0,2;20;0,5;0,15;0,02;0,2;0;0
7;0,5;0,05;0,02;0,2;20;0,5;0,15;0,02;0,2;0;0
8;0,5;0,05;0,02;0,2;20;0,5;0,15;0,02;0,2;0;0
9;0,5;0,05;0,02;0,2;20;0,5;0,15;0,02;0,2;0;0
10;0,5;0,05;0,02;0,2;20;0,5;0,15;0,02;0,2;0;0
1;0,5;0,075;0,02;0,2;20;0,5;0,125;0,02;0,2;0;0
2;0,5;0,075;0,02;0,2;20;0,5;0,125;0,02;0,2;0;0
3;0,5;0,075;0,02;0,2;20;0,5;0,125;0,02;0,2;0;0
4;0,5;0,075;0,02;0,2;20;0,5;0,125;0,02;0,2;0;0
5;0,5;0,075;0,02;0,2;20;0,5;0,125;0,02;0,2;0;0
6;0,5;0,075;0,02;0,2;20;0,5;0,125;0,02;0,2;0;0
7;0,5;0,075;0,02;0,2;20;0,5;0,125;0,02;0,2;0;0
8;0,5;0,075;0,02;0,2;20;0,5;0,125;0,02;0,2;0;0
9;0,5;0,075;0,02;0,2;20;0,5;0,125;0,02;0,2;0;0
10;0,5;0,075;0,02;0,2;20;0,5;0,125;0,02;0,2;0;0
1;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0;0
2;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0;0
3;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0;0
4;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0;0
5;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0;0
6;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0;0
7;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0;0
8;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0;0
9;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0;0
10;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0;0
1;0,5;0,025;0,02;0,2;20;0,5;0,175;0,02;0,2;0,02;0,2
2;0,5;0,025;0,02;0,2;20;0,5;0,175;0,02;0,2;0,02;0,2
3;0,5;0,025;0,02;0,2;20;0,5;0,175;0,02;0,2;0,02;0,2
4;0,5;0,025;0,02;0,2;20;0,5;0,175;0,02;0,2;0,02;0,2
5;0,5;0,025;0,02;0,2;20;0,5;0,175;0,02;0,2;0,02;0,2
6;0,5;0,025;0,02;0,2;20;0,5;0,175;0,02;0,2;0,02;0,2
7;0,5;0,025;0,02;0,2;20;0,5;0,175;0,02;0,2;0,02;0,2
8;0,5;0,025;0,02;0,2;20;0,5;0,175;0,02;0,2;0,02;0,2
9;0,5;0,025;0,02;0,2;20;0,5;0,175;0,02;0,2;0,02;0,2
10;0,5;0,025;0,02;0,2;20;0,5;0,175;0,02;0,2;0,02;0,2
1;0,5;0,05;0,02;0,2;20;0,5;0,15;0,02;0,2;0,02;0,2
2;0,5;0,05;0,02;0,2;20;0,5;0,15;0,02;0,2;0,02;0,2
3;0,5;0,05;0,02;0,2;20;0,5;0,15;0,02;0,2;0,02;0,2
4;0,5;0,05;0,02;0,2;20;0,5;0,15;0,02;0,2;0,02;0,2
5;0,5;0,05;0,02;0,2;20;0,5;0,15;0,02;0,2;0,02;0,2
6;0,5;0,05;0,02;0,2;20;0,5;0,15;0,02;0,2;0,02;0,2
7;0,5;0,05;0,02;0,2;20;0,5;0,15;0,02;0,2;0,02;0,2
8;0,5;0,05;0,02;0,2;20;0,5;0,15;0,02;0,2;0,02;0,2
9;0,5;0,05;0,02;0,2;20;0,5;0,15;0,02;0,2;0,02;0,2
10;0,5;0,05;0,02;0,2;20;0,5;0,15;0,02;0,2;0,02;0,2
1;0,5;0,075;0,02;0,2;20;0,5;0,125;0,02;0,2;0,02;0,2
2;0,5;0,075;0,02;0,2;20;0,5;0,125;0,02;0,2;0,02;0,2
3;0,5;0,075;0,02;0,2;20;0,5;0,125;0,02;0,2;0,02;0,2
4;0,5;0,075;0,02;0,2;20;0,5;0,125;0,02;0,2;0,02;0,2
5;0,5;0,075;0,02;0,2;20;0,5;0,125;0,02;0,2;0,02;0,2
6;0,5;0,075;0,02;0,2;20;0,5;0,125;0,02;0,2;0,02;0,2
7;0,5;0,075;0,02;0,2;20;0,5;0,125;0,02;0,2;0,02;0,2
8;0,5;0,075;0,02;0,2;20;0,5;0,125;0,02;0,2;0,02;0,2
